Ticker,Name,Exchange
A,Agilent Technologies,NYSE
AA,Alcoa Inc.,NYSE
AAN,Aaron's Inc,NYSE
AAT,American Assets Trust,NYSE
AB,Alliance Capital Management L.P.,NYSE
ABB,Abb Ltd,NYSE
ABBV,Abbvie Inc. Common Stock,NYSE
ABC,Amerisourcebergen Corporation,NYSE
ABM,Abm Industries Incorporated,NYSE
ABR,Arbor Realty Trust,NYSE
ABT,Abbot Laboratories,NYSE
ACI,Arch Coal,NYSE
ACM,Aecom Technology Corp.,NYSE
ACN,Accenture Plc.,NYSE
ACP,Avenue Income Credit Strategies,NYSE
ACRE,Ares Commercial Real Estate Cor,NYSE
ACT,Actavis Inc.,NYSE
ACTV,Active Network Inc,NYSE
ADC,Agree Realty Corp.,NYSE
ADM,Archer-Daniels-Midland Company,NYSE
ADT,Adt Corporation Common Stock W,NYSE
ADX,Adams Express Company,NYSE
AEE,Ameren Corp.,NYSE
AEF,Aegon Nv,NYSE
AEG,Aegon Nv,NYSE
AEL,American Equity Investment Life,NYSE
AEM,Agnico-Eagle Mines Limited,NYSE
AEO,American Eagle Outfitters,NYSE
AEP,American Electric Power Company,NYSE
AER,Aercap Holdings N.V.,NYSE
AES,The Aes Corp.,NYSE
AFB,Alliance National Municipal,NYSE
AFG,American Financial Group  ,NYSE
AFL,Aflac Incorporated,NYSE
AFT,Apollo Senior Floating Rate Fund Inc.,NYSE
AG,First Majestic Silver,NYSE
AGCO,Agco Corp.,NYSE
AGD,Alpine Global Dynamic Dividend Fund,NYSE
AGI,Alamos Gold Inc.,NYSE
AGM,Federal Agricultural Mortgage Corp.,NYSE
AGM-A,Federal Agricultural Mortgage  ,NYSE
AGO,Assured Guaranty Ltd,NYSE
AGRO,Adecoagro S.A.,NYSE
AHH,Armada Hoffler Properties Inc.,NYSE
AHL-PC,Aspen Insurance Holdings Limite,NYSE
AHT,Ashford Hospitality Trust Inc,NYSE
AHT-PD,Ashford Hospitality Trust Inc 8,NYSE
AI,Arlington Asset Investment Corp,NYSE
AIB,Apollo Investment Corporation,NYSE
AIF,Apollo Tactical Income Fund Inc,NYSE
AIG,American International Group,NYSE
AIN,Albany International Corp.,NYSE
AIR,Aar ,NYSE
AIT,Applied Industrial Technologies,NYSE
AIV,Apartment Investment And Management,NYSE
AIZ,Assurant,NYSE
AJG,Arthur J. Gallagher & Co.,NYSE
AKR,Acadia Realty Trust,NYSE
AL,Air Lease Corporation Class A C,NYSE
ALB,Albemarle Corp.,NYSE
ALE,Allete,NYSE
ALEX,Alexander And Baldwin Inc,NYSE
ALG,Alamo Group,NYSE
ALK,Alaska Air Group,NYSE
ALL,Allstate Corporation,NYSE
ALSN,Allison Transmission Holdings,NYSE
ALV,Autoliv,NYSE
ALX,Alexander's,NYSE
AM,American Greetings Corp.,NYSE
AMD,Advanced Micro Devices,NYSE
AME,Amtek,NYSE
AMG,Affiliated Managers Group  ,NYSE
AMH,American Homes 4 Rent,NYSE
AMID,American Midsteampartners Lp,NYSE
AMP,Ameriprise Financial Services,NYSE
AMRC,Ameresco Inc,NYSE
AMT,American Tower Corp.,NYSE
AMTD,TD Ameritrade Holding Corp.,NYSE
AMX,American Movil S.A.B. De C.V.,NYSE
AN,Autonation,NYSE
ANF,Abercrombie & Fitch Company,NYSE
AOD,Alpine Total Dynamic Dividend,NYSE
AON,Aon Plc,NYSE
AOS,Smith [A.O.] Corp.,NYSE
AP,Ampco-Pittsburgh Corp.,NYSE
APA,Apache Corp.,NYSE
APAM,Artisan Partners Asset Manageme,NYSE
APD,Air Products And Chemicals,NYSE
APH,Amphenol Corp.,NYSE
APO,Apollo Global Management LLc C,NYSE
ARB,Arbitron Inc.,NYSE
ARC,American Reprographics Company,NYSE
ARDC,Ares Dynamic Credit Allocation,NYSE
ARE,Alexandria Real Estate Equities,NYSE
ARI,Apollo Commercial Real Estate,NYSE
ARL,American Realty Investors,NYSE
ARP,Atlas Resource Partners L.P. C,NYSE
ARR,Armour Residential R,NYSE
ARW,Arrow Electronics,NYSE
ASA,Asa Gold And Precious Metals,NYSE
ASC,Ardmore Shipping Corporation,NYSE
ASG,Liberty All-Star Growth Fund,NYSE
ASGN,On Assignment,NYSE
ASH,Ashland Inc.,NYSE
ASR,Grupo Aeroporuario Del Sureste,NYSE
ASX,Advanced Semiconductor Engineering,NYSE
ATI,Allagheny Technologies Inc.,NYSE
ATO,Atmos Energy Llc,NYSE
ATR,Aptargroup,NYSE
AU,Anglogold Ashanti Ltd,NYSE
AVA,Avista Corp.,NYSE
AVB,Avalonbay Communities,NYSE
AVD,American Vanguard Corp.,NYSE
AVK,Advent Claymore Convertible Securities,NYSE
AVT,Avnet,NYSE
AVY,Avery Dennison Corp.,NYSE
AWF,Alliance World Dollar Fund II,NYSE
AWH,Allied World Assurance Company,NYSE
AWI,Armstrong World Industries Inc,NYSE
AWK,American Water Works,NYSE
AWP,Alpine Global Premier Propertie,NYSE
AWR,American States Water Company,NYSE
AXL,American Axle & Manufacturing,NYSE
AXP,American Express Company,NYSE
AXR,Amrep Corp.,NYSE
AXS,Axis Capital Holdings,NYSE
AYI,Acuity Brands Inc,NYSE
AZN,Astrazeneca Plc,NYSE
AZO,Autozone,NYSE
AZZ,Azz Inc.,NYSE
BCC,Boise Cascade L.L.C. Common ST,NYSE
BCE,Bce,NYSE
BCH,Banco De Chile,NYSE
BCO,Brink's Company,NYSE
BCS,Barclays Plc,NYSE
BCX,Blackrock Resources Common Shar,NYSE
BDC,Belden Inc,NYSE
BDJ,Blackrock Enhanced Dividend Achievers,NYSE
BDN,Brandywine Realty Trust,NYSE
BDX,Becton Dickinson And Company,NYSE
BEAM,Beam Inc,NYSE
BEN,Franklin Resources,NYSE
BEP,Brookfield Renewable,NYSE
BERY,Berry Plastics Group Inc.,NYSE
BFAM,Bright Horizons Family Solutions Inc.,NYSE
BFK,Blackrock Florida Muni 2020 Trust,NYSE
BFS,Saul Centers,NYSE
BFZ,Blackrock California Muni Trust,NYSE
BG,Bunge Limited,NYSE
BGB,Blackstone / Gso Strategic Cre,NYSE
BGC,General Cable Corp.,NYSE
BGH,Babson Capital Global Short Du,NYSE
BGR,Blackrock Energy And Resources Trust,NYSE
BGS,B&G Foods Holdings,NYSE
BGT,Blackrock Global,NYSE
BGX,Blacstone Gso Long Short Credit Fund,NYSE
BGY,Blackrock International,NYSE
BH,Biglari Holdings Inc.,NYSE
BHE,Benchmark Electronics,NYSE
BHK,Blackrock Core Trust,NYSE
BHLB,Berkshire Hills Bancorp,NYSE
BHP,Bhp Billiton Limited,NYSE
BIG,Big Lots,NYSE
BIO,Bio-Rad Laboratories,NYSE
BIP,Brookfield Infrastructure Partners Lp,NYSE
BIT,Blackrock Multi-Sector Income T,NYSE
BK,Bank Of New York Mellon Corp.,NYSE
BKD,Brookdale Senior Living Inc.,NYSE
BKE,Buckle,NYSE
BKH,Black Hills Corp.,NYSE
BKI,Buckeye Technologies,NYSE
BKN,Blackrock Investment Quality Municipal,NYSE
BKT,Blackrock Income Trust Inc.,NYSE
BKU,Bankunited,NYSE
BLK,Blackrock,NYSE
BLW,Blackrock Limited Duration Income Trust,NYSE
BLX,Banco Latinoamericano De Comercio,NYSE
BMA,Banco Macro S.A.,NYSE
BME,Blackrock Health Sciences Trust,NYSE
BMI,Badger Meter,NYSE
BMO,Bank Of Montreal,NYSE
BMR,Biomed Realty Trust,NYSE
BMY,Bristol-Myers Squibb Company,NYSE
BNJ,Blackrock New Jersey Muni Income Trust,NYSE
BNS,Bank Of Nova Scotia,NYSE
BNY,Blackrock New York Muni Trust Inc.,NYSE
BOE,Blackrock Global,NYSE
BOH,Bank Of Hawaii Corp.,NYSE
BP,Bp P.L.C.,NYSE
BPT,Bp Prudhoe Bay Royalty Trust,NYSE
BR,Broadridge Financial Solutions Llc,NYSE
BRC,Brady Corp.,NYSE
BRFS,Brf-Brasil Foods S.A.,NYSE
BRO,Brown & Brown,NYSE
BRP,Brookfield Residential Propert,NYSE
BRT,Brt Realty Trust,NYSE
BRY,Berry Petroleum Company,NYSE
BSAC,Banco Santander-Chile Ads,NYSE
BSBR,Banco Santander Brasil Sa,NYSE
BSL,Blackstone Gso Senior Floating Rate,NYSE
BSX,Boston Scientific Corp.,NYSE
BTA,Blackrock Long-Term Muni Advantage Trust,NYSE
BTE,Baytex Energy Corp,NYSE
BTF,Boulder Total Return Fund,NYSE
